"school","school_id","distance","hospital","school_latitude","school_longitude","hospital_latitude","hospital_id","hospital_longitude","city_school","city_hospital","id"
"Christ The King School","b313102366f41f57d32699a8bfb36020f7e765bf",2.66089,"christchurch hospital",-43.509137,172.576745,-43.5304269,"8f699ddd17dea3ade0ee5bd94786a84b1ed415d8",172.5918192,"Christchurch","Christchurch",257
"Christchurch Rudolf Steiner School","e51e30476177489ba82897c6af7fdd60d75e9e0d",3.27587,"Christchurch Outpatients Building",-43.5598685,172.6590672,-43.5409947,"8c65180e43fe26bb63b7d8c259ea74d41faf6f0f",172.6279226,"Christchurch","Christchurch",258
"Christchurch Rudolf Steiner School","e51e30476177489ba82897c6af7fdd60d75e9e0d",3.93387,"Christchurch Hospital",-43.5598685,172.6590672,-43.534003,"f467be0c7f14587d37cef74b2b53863510cc9bb6",172.625825,"Christchurch","Christchurch",259
"Christchurch Rudolf Steiner School","e51e30476177489ba82897c6af7fdd60d75e9e0d",4.0802,"Christchurch Hospital ASB Unit",-43.5598685,172.6590672,-43.5340263,"0ca8b8eb9c8c27d16c51988ee1431e8943d9c551",172.623194,"Christchurch","Christchurch",260
"Ferndale School","f1dea18ce600fbcdcb451b6744bd7703d824db2b",0.66698,"Hospice",-43.5172106,172.6221754,-43.5112087,"b2c2fe158a54756a5c576e058cdd7e5a11ba60ac",172.622354,"Christchurch","Christchurch",261
"Ferndale School","f1dea18ce600fbcdcb451b6744bd7703d824db2b",0.68667,"Nurse Maude Hospital",-43.5172106,172.6221754,-43.5110375,"98f02f1620bba541b2bb79a055d2708bff3aa5a8",172.62259,"Christchurch","Christchurch",262
"Ferndale School","f1dea18ce600fbcdcb451b6744bd7703d824db2b",0.7918,"St George’s Hospital",-43.5172106,172.6221754,-43.510477,"1967f7508eedd51be206eac401890988cead67f5",172.6189679,"Christchurch","Christchurch",263
"Cotswold School","c44927139a60f1564cba7a94e0b158b2712baf40",3.08534,"Laura Fergusson Trust Inc",-43.4828279,172.5878875,-43.5102501,"b57292515a0d98bddde836ee42ab55e2b93a5421",172.5818672,"Christchurch","Christchurch",264
"Cotswold School","c44927139a60f1564cba7a94e0b158b2712baf40",3.96935,"St George’s Hospital",-43.4828279,172.5878875,-43.510477,"1967f7508eedd51be206eac401890988cead67f5",172.6189679,"Christchurch","Christchurch",265
"Cotswold School","c44927139a60f1564cba7a94e0b158b2712baf40",4.18936,"Silverdale Hospital",-43.4828279,172.5878875,-43.5088203,"142efa9e94cc4cf09fdf2ff0c43ebadfffe04670",172.6254112,"Christchurch","Christchurch",266
"Chisnallwood Intermediate","db19c6949e8063fb66bc5414442f6e00d038fed0",2.4603,"Admatha Resthome",-43.510301,172.689185,-43.5134614,"a51096feddd29686b5db115b7addc4e3ea1eb421",172.6590701,"Christchurch","Christchurch",267
"Chisnallwood Intermediate","db19c6949e8063fb66bc5414442f6e00d038fed0",3.17396,"Entrance 3, Burwood Hospital Physiotherapy",-43.510301,172.689185,-43.482061,"71247a539ce173a604fdb298fc364e94d49e12ca",172.683257,"Christchurch","Christchurch",268
